,block,street_name,latitude,longitude
0,406,ANG MO KIO AVE 10,,
1,108,ANG MO KIO AVE 4,1.37096635222625,103.838201940326
2,602,ANG MO KIO AVE 5,1.38070883044887,103.835368226602
3,465,ANG MO KIO AVE 10,,
4,601,ANG MO KIO AVE 5,,
5,150,ANG MO KIO AVE 5,,
6,447,ANG MO KIO AVE 10,,
7,218,ANG MO KIO AVE 1,,
8,571,ANG MO KIO AVE 3,,
9,534,ANG MO KIO AVE 10,1.37405846295585,103.854168170426
10,233,ANG MO KIO AVE 3,1.36754924977907,103.836740628478
11,235,ANG MO KIO AVE 3,1.36682360872342,103.83649123351
12,219,ANG MO KIO AVE 1,1.36598198004505,103.840654039612
13,536,ANG MO KIO AVE 10,,
14,230,ANG MO KIO AVE 3,,
15,570,ANG MO KIO AVE 3,,
16,624,ANG MO KIO AVE 4,,
17,441,ANG MO KIO AVE 10,,
18,625,ANG MO KIO AVE 9,,
19,119,ANG MO KIO AVE 3,1.36956344301912,103.844698910817
20,255,ANG MO KIO AVE 4,,
21,432,ANG MO KIO AVE 10,,
22,211,ANG MO KIO AVE 3,,
23,584,ANG MO KIO AVE 3,,
24,118,ANG MO KIO AVE 4,1.37329593649654,103.835475719134
25,333,ANG MO KIO AVE 1,1.3613425564061,103.851698621454
26,256,ANG MO KIO AVE 4,,
27,330,ANG MO KIO AVE 1,,
28,557,ANG MO KIO AVE 10,1.3716257020332,103.857736107527
29,302,ANG MO KIO AVE 3,,
30,575,ANG MO KIO AVE 10,,
31,509,ANG MO KIO AVE 8,,
32,472,ANG MO KIO AVE 10,1.36314392666998,103.858118593427
33,475,ANG MO KIO AVE 10,,
34,629,ANG MO KIO AVE 4,1.380104749906,103.840408652998
35,546,ANG MO KIO AVE 10,1.37365123866689,103.857022220393
36,131,ANG MO KIO AVE 3,,
37,254,ANG MO KIO AVE 4,,
38,470,ANG MO KIO AVE 10,,
39,463,ANG MO KIO AVE 10,,
40,207,ANG MO KIO AVE 1,,
41,304,ANG MO KIO AVE 1,,
42,646,ANG MO KIO AVE 6,1.37939517687868,103.843763599411
43,328,ANG MO KIO AVE 3,,
44,588C,ANG MO KIO ST 52,,
45,588D,ANG MO KIO ST 52,,
46,101,ANG MO KIO AVE 3,,
47,430,ANG MO KIO AVE 3,,
48,520,ANG MO KIO AVE 5,,
49,716,ANG MO KIO AVE 6,,
50,588A,ANG MO KIO ST 52,,
51,310A,ANG MO KIO AVE 1,,
52,613,ANG MO KIO AVE 4,,
53,101,BEDOK NTH AVE 4,,
54,548,BEDOK NTH AVE 1,,
55,75,BEDOK NTH RD,,
56,550,BEDOK NTH AVE 1,,
57,1,BEDOK STH AVE 1,,
58,151,BEDOK RESERVOIR RD,1.33557619454702,103.911545779692
59,54,CHAI CHEE ST,,
60,50,CHAI CHEE ST,1.32930431416537,103.922415807329
61,105,BEDOK RESERVOIR RD,,
62,528,BEDOK NTH ST 3,,
63,534,BEDOK NTH ST 3,,
64,77,BEDOK NTH RD,,
65,116,BEDOK RESERVOIR RD,,
66,18,BEDOK STH RD,,
67,40,CHAI CHEE AVE,,
68,57,NEW UPP CHANGI RD,,
69,105,BEDOK NTH AVE 4,,
70,709,BEDOK RESERVOIR RD,,
71,42,CHAI CHEE ST,,
72,55,CHAI CHEE DR,,
73,2,BEDOK STH AVE 1,1.32130118793544,103.933299574181
74,37,CHAI CHEE AVE,1.32544200357037,103.926207634232
75,425,BEDOK NTH RD,1.32936960154503,103.929067536324
76,117,BEDOK NTH RD,,
77,423,BEDOK NTH AVE 1,,
